fid,tree_name_th,tree_name_eng,tree_code,tree_type,latitude,longitude,tree_height_m,dbh_cm,biomass_stems,biomass_branches,biomass_leaves,biomass_total,carbon_storage,co2_absorp,zone_id
1,โสก,Asoke Tree,1001,ป่าดิบชื้น,7.89507679723523,98.35166151,8.67,99.31,1574.52,697.25,26.79,2298.57,1080.33,3954,1
2,โสก,Asoke Tree,1002,ป่าดิบชื้น,7.895130899,98.35155257,8.67,22.03,94.89,31.62,4.06,130.57,61.37,224.61,1
3,กระทิง,Alexandrian Laurel,1003,ป่าดิบแล้ง,7.895148960516981,98.35153439791263,11.43,32.59,288.63,87.37,7.56,383.57,180.28,659.82,1
4,อโศก,Cemetary Tree,1004,ป่าดิบชื้น,7.895157991471123,98.35152531221945,9.07,37.05,261.06,96.38,9.68,367.12,172.55,631.52,1
5,อโศก,Cemetary Tree,1005,ป่าดิบชื้น,7.895221222207448,98.35147078394695,6.97,29.6,134.35,46.37,5.56,186.28,87.55,320.44,1
6,ปีบ,Indian Cork Tree,1006,ป่าดิบชื้น,7.89519404496629,98.35144361149132,10.27,24.51,135.63,46.86,5.6,188.09,88.4,323.56,1
7,ตะแบก,Thai Crape Myrtle,1007,ป่าเบญจพรรณ,7.895230126576177,98.35138005393189,11.7,27.5,190.62,40.56,6.84,238.03,111.87,409.45,1
8,โสก,Asoke Tree,1008,ป่าดิบชื้น,7.895266335,98.35139814,7.6,23.35,93.58,31.14,4.01,128.73,60.51,221.45,1
9,ตะแบก,Thai Crape Myrtle,1009,ป่าเบญจพรรณ,7.895266222242538,98.35132556795354,7.67,27.88,131.85,27,4.97,163.82,76.99,281.8,1
10,อโศก,Cemetary Tree,1010,ป่าดิบชื้น,7.895320436069065,98.3512891969323,6.37,22.92,76.64,24.99,3.33,104.96,49.33,180.55,1
11,ตะแบก,Thai Crape Myrtle,1011,ป่าเบญจพรรณ,7.895338469827844,98.35125288234151,8,27.02,129.4,26.45,4.89,160.74,75.55,276.5,1
12,ตีนเป็ด,Devil Tree,1012,ป่าดิบชื้น,7.895447080360688,98.35129807099717,9.67,24.76,130.72,45,5.42,181.14,85.14,311.59,1
13,ปีบ,Indian Cork Tree,1013,ป่าดิบชื้น,7.895429018464116,98.35131624240589,9,26.87,142.35,49.42,5.85,197.62,92.88,339.95,1
14,ตีนเป็ด,Devil Tree,1014,ป่าดิบชื้น,7.895410956566613,98.351334413813,14.17,44.56,558.52,222.7,16.44,797.66,374.9,1372.14,1
15,ปีบ,Indian Cork Tree,1015,ป่าดิบชื้น,7.895392922801043,98.35137072840742,8.77,24.19,114.23,38.79,4.81,157.83,74.18,271.5,1
16,ปีบ,Indian Cork Tree,1016,ป่าดิบชื้น,7.895374903097371,98.351416114593,9.6,28.01,163.43,57.54,6.59,227.56,106.95,391.45,1
17,หูกวาง,Tropical Almond,1017,ป่าดิบชื้น,7.895383962178713,98.35142517208078,8.47,14.83,44.41,13.7,1.97,60.09,28.24,103.36,1
18,ตีนเป็ด,Devil Tree,1018,ป่าดิบชื้น,7.895365914340411,98.35145241507543,8.87,30.56,178.49,63.41,7.1,249.01,117.03,428.35,1
19,อโศก,Cemetary Tree,1019,ป่าดิบชื้น,7.895311630178279,98.3514434281168,9,27.93,153.01,53.52,6.23,212.76,100,365.99,1
20,ปีบ,Indian Cork Tree,1020,ป่าดิบชื้น,7.895311672370944,98.35147064289528,7.8,27.69,131.82,45.41,5.46,182.69,85.87,314.27,1
21,อโศก,Cemetary Tree,1021,ป่าดิบชื้น,7.895356925580169,98.35148871555653,7.8,23.05,93.58,31.14,4.01,128.72,60.5,221.43,1
22,ตีนเป็ด,Devil Tree,1022,ป่าดิบชื้น,7.895320773641471,98.35150691516236,12.97,39.79,416.29,161.12,13.61,591.01,277.78,1016.66,1
23,ตีนเป็ด,Devil Tree,1023,ป่าดิบชื้น,7.895266672285597,98.35161585889337,17.57,89.38,2500.11,1160.18,30.63,3690.92,1734.73,6349.12,1
24,โสก,Asoke Tree,1024,ป่าดิบชื้น,7.895140126411943,98.35167048585642,8.1,22.38,91.75,30.47,3.94,126.16,59.29,217.01,1
25,ประดู่บ้าน,Malay Paduak,1025,ป่าเบญจพรรณ,7.895167331756451,98.35171580150511,11.33,81.36,1400.35,366.66,24.48,1791.49,842,3081.73,1
26,โสก,Asoke Tree,1026,ป่าดิบชื้น,7.895212542782033,98.35170665941548,7.3,43.67,289.83,108.14,10.49,408.45,191.97,702.62,1
27,ประดู่บ้าน,Malay Paduak,1027,ป่าเบญจพรรณ,7.895275984420283,98.35178820504868,9.87,34.28,245.3,53.59,8.43,307.31,144.43,528.63,1
28,โสก,Asoke Tree,1028,ป่าดิบชื้น,7.895330128000068,98.35170647611488,10.43,30.59,208.15,75.1,8.07,291.32,136.92,501.13,1
29,โสก,Asoke Tree,1029,ป่าดิบชื้น,7.895393429058136,98.35169730581833,10.5,46.09,449.82,175.47,14.33,639.62,300.62,1100.27,1
30,ประดู่บ้าน,Malay Paduak,1030,ป่าเบญจพรรณ,7.89543866820074,98.35170630691182,13.17,47.81,597.24,143.12,15.92,756.28,355.45,1300.95,1
31,โสก,Asoke Tree,1031,ป่าดิบชื้น,7.895456687936302,98.35166092072907,7.83,33.42,187.94,67.12,7.42,262.48,123.37,451.52,1
32,ตีนเป็ด,Devil Tree,1032,ป่าดิบชื้น,7.895465578280198,98.35156111906653,14.87,55.96,893.36,373.56,21.23,1288.15,605.43,2215.87,1
33,โสก,Asoke Tree,1033,ป่าดิบชื้น,7.895537868097184,98.35151564824795,8.5,28.33,149,51.97,6.09,207.06,97.32,356.19,1
34,โสก,Asoke Tree,1034,ป่าดิบชื้น,7.895564932826647,98.35147024794173,8.27,20.21,77.35,25.25,3.36,105.95,49.8,182.26,1
35,ตีนเป็ด,Devil Tree,1035,ป่าดิบชื้น,7.895555831551381,98.35143397565484,15.03,35.14,379.03,145.32,12.76,537.11,252.44,923.93,1
36,ประดู่บ้าน,Malay Paduak,1036,ป่าเบญจพรรณ,7.895555704957026,98.35135233127248,9.13,44.56,372.35,84.95,11.6,468.9,220.38,806.6,1
37,ตีนเป็ด,Devil Tree,1037,ป่าดิบชื้น,7.895573809055899,98.35136137465429,10.8,26.48,164.28,57.87,6.62,228.78,107.53,393.55,1
38,ประดู่บ้าน,Malay Paduak,1038,ป่าเบญจพรรณ,7.89561001725321,98.35137946142011,13.57,42.3,488.77,114.71,14.01,617.49,290.22,1062.21,1
39,ยางนา,Yangna,1039,ป่าดิบแล้ง,7.895637251,98.35144292029567,12.73,37.88,420,130.19,13.18,563.37,264.78,969.11,1
40,ประดู่บ้าน,Malay Paduak,1040,ป่าเบญจพรรณ,7.895691492727823,98.35142469245456,15.6,68.05,1352.05,352.72,24.14,1728.91,812.59,2974.07,1
41,ตำเสา,Anan,1041,ป่าดิบชื้น,7.895781900690302,98.35139733657533,13.77,41.38,473.6,185.71,14.82,674.13,316.84,1159.64,1
42,โสก,Asoke Tree,1042,ป่าดิบชื้น,7.89563743359159,98.35156085109587,9.37,30.73,189.82,67.85,7.48,265.15,124.62,456.11,1
43,โสก,Asoke Tree,1043,ป่าดิบชื้น,7.895583247864565,98.35161536531277,9.37,29.48,175.64,62.3,7.01,244.95,115.13,421.36,1
44,ประดู่บ้าน,Malay Paduak,1044,ป่าเบญจพรรณ,7.895556140937174,98.35163355081741,9.7,41.7,347.94,78.82,11.04,437.8,205.76,753.1,1
